employee_status,movement,employee_id,employee_name,date_of_joining,date_of_relieving,reporting_manager,employee_type,gender,marital_status,grade,department,total_experience,hire_year,stability,visa_type,tenure_years,estimated_age,age_group,tenure_band,is_attrition
On-Board,Ijp,Ct18807,Kareem Fadhel,2020-04-29,,Roberta Moyer,Contract,Male,Single,Contract,Operations,0.0,2020,5+ Years,Golden Visa,6.02,23.0,<25,6+yr,0
Attrition,,Ct12674,Ahmed Al-Mansoori,2020-09-01,2020-12-18,Roberta Moyer,Contract,Male,Married,Trainees,Accounting,6.5,2020,5+ Years,Golden Visa,5.68,29.5,25-29,5yr,1
On-Board,,Ct11735,Fatima Al-Sayed,2021-01-01,,Roberta Moyer,Contract,Male,Single,Contract,Operations,4.8,2021,5+ Years,Company Sponsored,5.35,27.8,25-29,5yr,0
On-Board,,Ct10131,Omar Hassan,2021-02-09,2024-09-13,Roberta Moyer,Contract,Male,Single,Contract,Legal,14.0,2021,5+ Years,Company Sponsored,5.24,37.0,35-39,5yr,0
Attrition,,Ct16953,Layla Mansour,2021-09-30,2022-09-30,Ryan Simmons,Contract,Female,Single,Contract,Marketing,0.0,2021,4+ Years,Family Sponsored,4.6,23.0,<25,4yr,1
Attrition,,Ct11213,Amira Khalid,2022-04-04,2022-07-16,Darryl Leon,Contract,Male,Single,Contract,Finance,2.0,2022,4+ Years,Company Sponsored,4.09,25.0,25-29,4yr,1
Attrition,,Ct17933,Zaid Ibrahim,2022-06-03,2023-01-25,Ryan Simmons,Contract,Male,Single,Contract,Marketing,2.8,2022,3+ Years,Company Sponsored,3.93,25.8,25-29,3yr,1
Attrition,,Ct17253,Noor Al-Farsi,2022-06-09,2023-08-11,Ryan Simmons,Contract,Male,Single,Contract,Hr,0.0,2022,3+ Years,Golden Visa,3.91,23.0,<25,3yr,1
Attrition,,Ct14693,Abdullah Fawzi,2022-07-07,2023-08-30,Geneva Hardy,Contract,Male,Single,Contract,Hr,3.0,2022,3+ Years,Company Sponsored,3.84,26.0,25-29,3yr,1
Attrition,,Ct11465,Sultan Al-Nuaimi,2022-08-04,2023-05-13,Ryan Simmons,Contract,Male,Single,Contract,Legal,5.9,2022,3+ Years,Company Sponsored,3.76,28.9,25-29,3yr,1
On-Board,,Ct12948,Mariam Al-Qasimi,2022-09-01,,Janelle Wiley,Contract,Male,Married,Contract,Finance,10.0,2022,3+ Years,Company Sponsored,3.68,33.0,30-34,3yr,0
Attrition,,Ct11145,Hamad Al-Ali,2022-09-08,2023-12-30,Janelle Wiley,Contract,Female,Single,Contract,Marketing,1.0,2022,3+ Years,Family Sponsored,3.66,24.0,<25,3yr,1
On-Board,,Ct18269,Hessa Al-Ketbi,2022-11-08,,Janelle Wiley,Contract,Male,Married,Contract,Sales,10.0,2022,3+ Years,Company Sponsored,3.5,33.0,30-34,3yr,0
Attrition,,Ct13931,Mohammed Al-Dhaheri,2023-01-21,2023-11-21,Alejandra Mack,Contract,Male,Single,Contract,Marketing,0.0,2023,3+ Years,Company Sponsored,3.29,23.0,<25,3yr,1
